,연번,호선,역명,소요시간,역간거리(km),호선별누계(km),환승
132,133,5,목동,1:10,0.8,11,FALSE
133,134,5,오목교,1:20,0.9,11.9,FALSE
134,135,5,양평,1:20,1,12.9,FALSE
135,136,5,영등포구청,1:10,0.8,13.7,TRUE
136,137,5,영등포시장,1:10,0.9,14.6,FALSE
137,138,5,신길,1:30,1.1,15.7,FALSE
138,139,5,여의도,1:30,1,16.7,FALSE
139,140,5,여의나루,1:20,1,17.7,FALSE
140,141,5,마포,2:00,1.8,19.5,FALSE
141,142,5,공덕,1:10,0.8,20.3,TRUE
142,143,5,애오개,1:20,1.1,21.4,FALSE
143,144,5,충정로,1:20,0.9,22.3,TRUE
144,145,5,서대문,1:00,0.7,23,FALSE
145,146,5,광화문,1:30,1.1,24.1,FALSE
146,147,5,종로3가,1:40,1.2,25.3,TRUE
147,148,5,을지로4가,1:40,1,26.3,TRUE
148,149,5,동대문역사문화공원,1:30,0.9,27.2,TRUE
149,150,5,청구,1:20,0.9,28.1,TRUE
150,151,5,신금호,1:30,0.9,29,FALSE
151,152,5,행당,1:20,0.9,29.9,FALSE
152,153,5,왕십리,1:10,0.9,30.8,TRUE
153,154,5,마장,1:00,0.7,31.5,FALSE
154,155,5,답십리,1:40,1,32.5,FALSE
155,156,5,장한평,1:40,1.2,33.7,FALSE
156,157,5,군자,1:40,1.5,35.2,TRUE
157,158,5,아차산,1:30,1,36.2,FALSE
158,159,5,광나루,1:50,1.5,37.7,FALSE
159,160,5,천호,2:10,2,39.7,TRUE
160,161,5,강동,1:10,0.8,40.5,FALSE
161,162,5,길동,1:30,0.9,41.4,FALSE
162,163,5,굽은다리,1:10,0.8,42.2,FALSE
163,164,5,명일,1:10,0.8,43,FALSE
164,165,5,고덕,1:40,1.2,44.2,FALSE
165,166,5,상일동,1:40,1.1,45.3,FALSE
166,167,5,강일,1:50,0.8,46.1,FALSE
167,168,5,미사,1:50,1.7,47.8,FALSE
168,169,5,하남풍산,2:30,2.1,49.9,FALSE
169,170,5,하남시청,1:50,1.3,51.2,FALSE
